method_short,method,seed,duration_h,scenario_count,row_count,window_count,scenario_mrr_mean,scenario_mrr_std,scenario_top1_mean,scenario_top3_mean,scenario_top5_mean
Two-stage v1,two_stage_balanced_layout_v1,123,6,17,17,93,0.8980392156862745,0.14879844340944834,0.8235294117647058,0.9901960784313725,0.9901960784313725
Two-stage v1,two_stage_balanced_layout_v1,123,12,11,11,127,0.8275176002448729,0.2132150743333605,0.6765381083562901,0.9924242424242423,0.9924242424242423
Two-stage v1,two_stage_balanced_layout_v1,123,18,22,22,389,0.8744418390251724,0.18298154287180765,0.7742424242424242,0.9797979797979799,0.9823232323232323
Two-stage v1,two_stage_balanced_layout_v1,123,24,13,13,306,0.922542735042735,0.16364560749620358,0.8525641025641026,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,6,14,14,78,0.8326719576719576,0.23531622204005792,0.7261904761904762,0.9523809523809524,0.9761904761904762
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,12,11,11,132,0.8584595959595961,0.21738347821149287,0.7727272727272727,0.9015151515151515,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,18,21,21,369,0.878723711706905,0.2156425267701205,0.8123249299719888,0.9341736694677871,0.9947089947089948
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,24,17,17,396,0.831553962164576,0.26770419848350074,0.7279411764705882,0.9558823529411765,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,6,18,18,94,0.8088804713804714,0.25321777071987606,0.6851851851851852,0.9425925925925925,0.9796296296296296
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,12,16,16,181,0.9424978956228957,0.10906785755591387,0.8959911616161617,0.9895833333333334,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,18,16,16,278,0.8968171296296297,0.12359312013616752,0.8090277777777778,0.9930555555555556,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,24,13,13,304,0.8496164463555769,0.16333322500274225,0.7231844242713807,0.973343685300207,0.9899267399267399
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,6,17,17,93,0.8202614379084967,0.22908619105898614,0.6960784313725491,0.9411764705882353,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,12,11,11,127,0.9659090909090909,0.0502169814911108,0.9343434343434344,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,18,22,22,389,0.8137314437559535,0.2732728378906007,0.6964646464646465,0.9116161616161617,0.9772727272727273
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,24,13,13,306,0.8871336996336996,0.16705504489968462,0.7870879120879122,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,6,14,14,78,0.8837353123067409,0.20999563403850793,0.7976190476190476,0.9761904761904762,0.9761904761904762
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,12,11,11,132,0.7509018759018758,0.3108909490325902,0.6212121212121212,0.8484848484848485,0.9772727272727273
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,18,21,21,369,0.8651382494636463,0.2053870439256054,0.7775910364145657,0.9397759103641457,0.9751011515717399
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,24,17,17,396,0.8389141383386908,0.2183932755440299,0.7208622579466569,0.9681372549019607,0.9877450980392157
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,6,18,18,94,0.7956790123456791,0.21654978878389916,0.6537037037037037,0.925925925925926,0.9907407407407407
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,12,16,16,181,0.9474826388888888,0.1358218948736087,0.9097222222222222,0.984375,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,18,16,16,278,0.902669051627385,0.1653734129022,0.8361111111111111,0.9826388888888888,0.9895833333333334
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,24,13,13,304,0.9642353419527332,0.05270372766403701,0.9332298136645962,0.9967948717948718,0.9967948717948718
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,6,17,17,93,0.9035947712418301,0.21653255443799943,0.8431372549019608,0.9803921568627452,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,12,11,11,127,0.8776859504132232,0.1881598606476794,0.7947658402203857,0.9848484848484849,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,18,22,22,389,0.905597643097643,0.17685461674356218,0.8454545454545456,0.9671717171717172,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,24,13,13,306,0.8736645299145299,0.2217494358553198,0.7724358974358974,0.9967948717948718,1.0
