scenario_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,observability_tier,is_hard_candidate,degree_mrr_mean,degree_seed_count,hard_far_current,hard_low_mrr_degree_q25,hard_far_and_low_mrr,degree_mrr_q25_cutoff
294,E,HS1313140,HS1313044.1,50,18,12,near,False,1.0,1,False,False,False,0.5138888888888888
306,E,HS1313298,HS1313343.1,50,6,12,direct,False,1.0,1,False,False,False,0.5138888888888888
307,E,HS1313298,HS1313343.1,50,0,6,direct,False,1.0,1,False,False,False,0.5138888888888888
309,E,HS1313298,HS1313343.1,60,6,12,direct,False,1.0,1,False,False,False,0.5138888888888888
316,E,HS1313597,HS1313613.1,50,0,18,direct,False,1.0,1,False,False,False,0.5138888888888888
318,E,HS1313597,HS1313613.1,60,18,6,direct,False,1.0,1,False,False,False,0.5138888888888888
320,E,HS1313597,HS1313613.1,50,12,12,direct,False,1.0,1,False,False,False,0.5138888888888888
323,E,HS1313835,HS1313794.1,60,0,12,direct,False,1.0,1,False,False,False,0.5138888888888888
340,E,HS1314505,HS1314769.1,50,12,18,near,False,1.0,3,False,False,False,0.5138888888888888
341,E,HS1316202,HS1316177.1,40,6,24,near,False,1.0,1,False,False,False,0.5138888888888888
344,E,HS1316202,HS1316177.1,50,12,12,near,False,1.0,2,False,False,False,0.5138888888888888
367,E,HS1324403,14,60,18,24,near,False,1.0,1,False,False,False,0.5138888888888888
383,E,HS2003046,HS1306601.1,50,0,6,near,False,1.0,1,False,False,False,0.5138888888888888
399,E,MH0200661,VP0232532.1,60,0,24,far,True,1.0,2,True,False,False,0.5138888888888888
405,E,MH0201629,MH0201597.1,40,0,12,far,True,1.0,1,True,False,False,0.5138888888888888
