row_index,scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,active_peak_response_index,0-hop,1-hop,2-hop,3+-hop
16,158,I,HS1314477,2,18,136.289,136.289,0.42677260240459564,0.00023694854157667325,0.42677260240459564,0.010780219149297634,0.35599935648377423
17,4,I,HS1313402,2,18,61.7252,61.7252,5.214041948297753,0.0003500234446242561,0.0021207035230280525,2.2903840823389334,5.214041948297753
18,160,I,HS1314477,8,18,136.289,136.289,0.3832278222104868,0.00024019686347927425,0.3832278222104868,0.008688312042066722,0.3646500169869212
19,99,I,HS1306601,8,18,86.3997,86.3997,3.2096003932583588,0.31614541835622145,0.03940929790704341,2.712521282773491,3.2096003932583588
20,137,I,HS1306571,14,18,64.5455,64.5455,2.851294288610423,0.4619488037373864,2.8507282132357687,0.0013460673434177253,2.851294288610423
21,157,I,HS1314477,20,18,136.289,136.289,0.42674855784580096,0.00020918395668707666,0.42674855784580096,0.005917591696140374,0.30764141658900523
22,156,I,HS1314477,20,18,113.5742,113.5742,0.367734987490726,0.0002783789560814632,0.367734987490726,0.010304478940567493,0.255806301860812
23,174,I,HS1306904,20,18,76.4982,76.4982,7.726698383106164,0.00036426531221705593,7.726698383106164,0.0016062362141978919,0.6278896453928761
24,175,I,HS1306904,2,24,95.6227,95.6227,9.634557166339437,0.0006246045840705699,9.634557166339437,0.0017889386971240327,0.72953360637961
25,105,I,HS1316202,2,24,30.3413,30.3413,8.32630818907141,0.0010194060482376277,1.63614854550356,8.32630818907141,0.12418198057870126
26,118,I,HS2003015,14,24,44.5072,44.5072,0.32390878485049285,0.0007321730514334421,0.0004158715801088555,0.002685309910406955,0.32390878485049285
27,96,I,HS1306601,20,24,71.9998,71.9998,2.541291334599344,0.3099112136036893,0.08255303800597212,2.502202881353255,2.541291334599344
28,103,I,HS1316202,20,24,37.9266,37.9266,10.434153381728532,0.0013676717623254983,1.617537178801052,10.434153381728532,0.14310778393767007
29,162,I,HS1313835,20,24,34.0883,34.0883,1.793929627376355,0.00037297005097185334,0.7758842186892198,0.0020183114542049237,1.793929627376355
30,168,I,HS1313205,20,24,31.3426,31.3426,4.744163187261744,0.01342028234346126,0.04163389555694355,4.744163187261744,3.145607869722093
31,196,I,MH0101924,20,24,20.9231,20.9231,1.5459917689700613,0.0018121687318732311,0.00042345476039270646,1.369848049286252,1.5459917689700613
32,313,E,HS1313402,0,6,-34.9977,34.9977,8.271221565974336,0.0006558689744343152,0.003888575918575485,3.1110863590028384,8.271221565974336
33,315,E,HS1313402,0,6,-29.1647,29.1647,4.522933810202941,0.0006856399990025773,0.0029120546005544155,2.1927472530772474,4.522933810202941
34,394,E,MH0101924,0,6,-18.1911,18.1911,6.838689266228492,0.0018270412218691187,0.0006720740773159767,6.838689266228492,2.6147462712730105
35,311,E,HS1313402,6,6,-23.3318,23.3318,1.791475111929435,0.0002325809042244878,0.0021798041399159708,0.8548788048923966,1.791475111929435
36,390,E,HS2003111,6,6,-16.835,16.835,0.7683421496378158,0.0015059056032193914,0.00224184089586646,0.0006540253989955993,0.7683421496378158
37,251,E,HS1306571,6,6,-16.6747,16.6747,0.718763171104105,0.1502653821021804,0.718763171104105,0.0005809795175855067,0.6459362055522306
38,256,E,HS1306601,12,6,-64.4972,64.4972,2.2003198964939052,0.4250563038446707,0.03770978509831795,2.124202787091499,2.2003198964939052
39,254,E,HS1306571,12,6,-16.6747,16.6747,0.715694859188181,0.09838848300980493,0.715694859188181,0.001235636996060537,0.6715489472200863
40,263,E,HS1306904,0,12,-38.4051,38.4051,13.927290389971944,0.0004360561209633558,13.927290389971944,0.0575451379323488,12.020703485081793
41,376,E,HS2003015,0,12,-37.0449,37.0449,7.0736231854644895,0.010415604659349159,0.00539629808144085,2.7770043378222535,7.0736231854644895
42,323,E,HS1313835,0,12,-27.977,27.977,4.336447195711093,0.0005308917090704869,3.2934484599771388,0.003370461572965346,4.336447195711093
43,378,E,HS2003015,6,12,-44.4539,44.4539,0.21171878801420752,0.0014379475404512853,0.00026278812582613095,0.0014386943193286593,0.21171878801420752
44,342,E,HS1316202,12,12,-41.461,41.461,7.177714777268329,0.000633784624197936,1.5820395254374011,7.177714777268329,0.1323332265592476
45,344,E,HS1316202,12,12,-34.5508,34.5508,5.902637516915814,0.0007074572648512362,1.5553394839994532,5.902637516915814,0.1115725029365538
46,370,E,HS1324403,12,12,-29.4389,29.4389,2.5579431310906178,0.000549736503750347,0.0009668591887446599,0.7364771694164812,2.5579431310906178
47,377,E,HS2003015,18,12,-44.4539,44.4539,3.0717264168821385,0.0006962924429642239,0.0004744331298377753,2.1473949027339376,3.0717264168821385
48,260,E,HS1306601,0,18,-53.7476,53.7476,7.36539397698405,7.36539397698405,3.3916764616374855,3.4538205752660645,6.210396757850716
49,379,E,HS2003015,0,18,-29.636,29.636,7.0736231854644895,0.010415604659349159,0.00539629808144085,2.7796301142060216,7.0736231854644895
50,314,E,HS1313402,0,18,-23.3318,23.3318,1.9965609334637544,0.00041612058893280733,0.005552876390278583,1.4204738565846924,1.9965609334637544
51,253,E,HS1306571,0,18,-20.0096,20.0096,1.5998801878962954,0.753255193646729,1.4283545501138764,0.0012541254367704762,1.5998801878962954
52,257,E,HS1306601,6,18,-64.4972,64.4972,2.200460325646705,0.442717578956047,0.05768266054775881,2.119863936995862,2.200460325646705
53,261,E,HS1306904,6,18,-38.4051,38.4051,2.558367992717839,0.000453747919564597,2.558367992717839,0.0018200480792958695,0.29227324716517294
54,265,E,HS1306904,12,18,-25.6034,25.6034,2.411430717899858,0.0005417323960816631,2.411430717899858,0.0017464516707076318,0.1984759178849514
55,258,E,HS1306601,18,18,-53.7476,53.7476,1.995779299386343,0.5447228720962448,0.20363238007483653,1.995779299386343,1.6395733034811746
56,259,E,HS1306601,0,24,-64.4972,64.4972,8.029563799317721,8.029563799317721,3.3916764616374855,3.4538205752660645,6.610345829176044
57,264,E,HS1306904,0,24,-38.4051,38.4051,13.927290389971944,0.0005238349841911405,13.927290389971944,0.0575451379323488,12.020703485081793
58,380,E,HS2003015,0,24,-29.636,29.636,7.0736231854644895,0.010415604659349159,0.00539629808144085,2.7796301142060216,7.0736231854644895
59,343,E,HS1316202,6,24,-41.461,41.461,5.9657533757109,0.0007798683954208783,1.5817967290526824,5.9657533757109,0.13228403380460507
60,341,E,HS1316202,6,24,-27.6407,27.6407,3.833439322159301,0.000613827752694385,1.5279558330913379,3.833439322159301,0.09017962739084706
61,345,E,HS1316202,12,24,-34.5508,34.5508,6.14168637439997,0.0007074572648512362,1.5553394839994532,6.14168637439997,0.1115725029365538
62,367,E,HS1324403,18,24,-35.3267,35.3267,4.969751052337002,0.0006758188471707442,0.14453080471171215,4.969751052337002,4.083578431230917
63,322,E,HS1313835,18,24,-27.977,27.977,1.912363222853199,0.00033306838049412775,0.6971679779571598,0.0017728891085798146,1.912363222853199
