method_short,method,seed,embedding_seed,scenario_id,scenario_mrr,scenario_top1,scenario_top3,scenario_top5,n_windows
embedding-guided clean,embedding_guided_clean,42,42,340,0.9722222222222222,0.9444444444444444,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,42,42,344,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,42,42,345,0.9513888888888888,0.9166666666666666,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,42,42,346,0.9722222222222222,0.9444444444444444,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,42,42,349,0.8518518518518519,0.7222222222222222,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,42,42,360,0.25,0.0,0.3333333333333333,0.6666666666666666,3
embedding-guided clean,embedding_guided_clean,42,42,364,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,42,42,373,0.7916666666666666,0.5833333333333334,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,42,42,386,0.65625,0.3333333333333333,0.9583333333333334,1.0,24
embedding-guided clean,embedding_guided_clean,42,42,405,1.0,1.0,1.0,1.0,9
embedding-guided clean,embedding_guided_clean,42,42,415,0.8888888888888888,0.7777777777777778,1.0,1.0,9
embedding-guided clean,embedding_guided_clean,42,42,419,0.5555555555555555,0.3333333333333333,1.0,1.0,3
embedding-guided clean,embedding_guided_clean,123,42,3,0.9583333333333334,0.9166666666666666,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,123,42,18,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,33,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,40,1.0,1.0,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,48,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,58,0.9583333333333334,0.9166666666666666,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,65,0.5833333333333334,0.16666666666666666,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,69,0.4907407407407407,0.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,71,0.8055555555555555,0.6666666666666666,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,74,0.9722222222222222,0.9583333333333334,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,77,0.8333333333333334,0.6666666666666666,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,84,1.0,1.0,1.0,1.0,17
embedding-guided clean,embedding_guided_clean,123,42,85,0.9166666666666666,0.8333333333333334,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,97,0.6666666666666666,0.3333333333333333,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,99,0.8888888888888888,0.7777777777777778,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,100,0.7727272727272727,0.5454545454545454,1.0,1.0,11
embedding-guided clean,embedding_guided_clean,123,42,107,0.9791666666666666,0.9583333333333334,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,112,1.0,1.0,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,114,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,119,1.0,1.0,1.0,1.0,11
embedding-guided clean,embedding_guided_clean,123,42,124,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,127,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,136,0.4166666666666667,0.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,147,0.8333333333333334,0.6666666666666666,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,155,1.0,1.0,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,159,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,123,42,169,0.9166666666666666,0.8333333333333334,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,177,0.6597222222222222,0.5,0.75,1.0,12
embedding-guided clean,embedding_guided_clean,123,42,181,0.9444444444444444,0.8888888888888888,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,206,0.25,0.0,0.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,209,0.2685185185185185,0.0,0.2222222222222222,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,214,0.9791666666666666,0.9583333333333334,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,215,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,225,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,226,0.9583333333333334,0.9166666666666666,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,123,42,231,0.3348765432098765,0.05555555555555555,0.6666666666666666,0.9444444444444444,18
embedding-guided clean,embedding_guided_clean,123,42,254,0.8055555555555555,0.6666666666666666,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,272,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,279,0.8571428571428572,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
embedding-guided clean,embedding_guided_clean,123,42,291,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,306,0.9583333333333334,0.9166666666666666,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,123,42,312,1.0,1.0,1.0,1.0,21
embedding-guided clean,embedding_guided_clean,123,42,315,1.0,1.0,1.0,1.0,3
embedding-guided clean,embedding_guided_clean,123,42,323,1.0,1.0,1.0,1.0,9
embedding-guided clean,embedding_guided_clean,123,42,326,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,123,42,332,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,123,42,335,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,123,42,340,1.0,1.0,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,341,1.0,1.0,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,349,0.8611111111111112,0.7222222222222222,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,351,0.7916666666666666,0.625,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,354,0.9,0.8,1.0,1.0,15
embedding-guided clean,embedding_guided_clean,123,42,359,0.2675925925925926,0.0,0.4444444444444444,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,362,1.0,1.0,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,123,42,366,0.7365079365079364,0.5416666666666666,0.9166666666666666,0.9583333333333334,24
embedding-guided clean,embedding_guided_clean,123,42,381,1.0,1.0,1.0,1.0,15
embedding-guided clean,embedding_guided_clean,123,42,383,0.75,0.6666666666666666,0.6666666666666666,1.0,3
embedding-guided clean,embedding_guided_clean,123,42,399,0.6325396825396825,0.3333333333333333,0.9047619047619048,1.0,21
embedding-guided clean,embedding_guided_clean,123,42,406,0.5666666666666668,0.3333333333333333,0.8888888888888888,0.9444444444444444,18
embedding-guided clean,embedding_guided_clean,123,42,409,0.30833333333333335,0.0,0.4166666666666667,1.0,12
embedding-guided clean,embedding_guided_clean,123,42,414,0.9722222222222222,0.9444444444444444,1.0,1.0,18
embedding-guided clean,embedding_guided_clean,123,42,419,0.6666666666666666,0.3333333333333333,1.0,1.0,3
embedding-guided clean,embedding_guided_clean,123,42,420,0.9722222222222222,0.9444444444444444,1.0,1.0,18
