method_short,method,seed,hard_definition,is_hard_under_definition,scenario_count,row_count,window_count,scenario_mrr_mean,scenario_mrr_std,scenario_top1_mean,scenario_top3_mean,scenario_top5_mean
Degree,degree,7,far_and_low_mrr,False,57,57,891,0.7809512520361224,0.2897694263776719,0.6778768817468508,0.8476522187822497,0.8949661736039445
Degree,degree,7,far_and_low_mrr,True,6,6,84,0.4621141975308642,0.035053868826526995,0.013888888888888883,0.9444444444444443,0.986111111111111
Degree,degree,7,far_hard_current,False,43,43,669,0.7665474616141364,0.3161413079239431,0.6710198032701453,0.8142764857881136,0.8620611035111719
Degree,degree,7,far_hard_current,True,20,20,306,0.7162682850918145,0.2325937958371636,0.4934232026143791,0.9484477124183007,0.9930555555555556
Degree,degree,7,low_mrr_degree_q25,False,47,47,752,0.8905983877002337,0.16795931311196016,0.8103725887518127,0.9629919343623975,0.9869976359338061
Degree,degree,7,low_mrr_degree_q25,True,16,16,223,0.33929889558332327,0.14934499224541575,0.03967524509803921,0.5451388888888888,0.6588031045751634
Degree,degree,42,far_and_low_mrr,False,55,55,762,0.86514482297091,0.20729641177114003,0.7709059539494322,0.9424603174603174,0.9818181818181818
Degree,degree,42,far_and_low_mrr,True,8,8,95,0.34882758583505863,0.10986638323408815,0.033212560386473425,0.6949728260869565,0.863677536231884
Degree,degree,42,far_hard_current,False,45,45,617,0.8786485571147407,0.21291072055151083,0.8041212330342765,0.9315255731922398,0.9777777777777777
Degree,degree,42,far_hard_current,True,18,18,240,0.601911159995399,0.27521281689189536,0.3600040257648953,0.8598027375201288,0.9394122383252819
Degree,degree,42,low_mrr_degree_q25,False,50,50,702,0.9109979296066253,0.14961660398309626,0.8424409937888199,0.9711507936507937,0.9933333333333333
Degree,degree,42,low_mrr_degree_q25,True,13,13,155,0.3710530361345578,0.1161880393353843,0.04180602006688962,0.679812337421033,0.8648272017837235
Degree,degree,123,far_and_low_mrr,False,52,52,774,0.8376404512294664,0.22078892758743426,0.7252088189588191,0.9620532245532245,0.9854895104895104
Degree,degree,123,far_and_low_mrr,True,11,11,141,0.41920244107744103,0.06656782101457419,0.046717171717171706,0.861111111111111,0.9696969696969696
Degree,degree,123,far_hard_current,False,41,41,579,0.8370966066180404,0.23125468241489422,0.7249938408474994,0.9593249568859326,0.9829514658782951
Degree,degree,123,far_hard_current,True,22,22,336,0.6294349747474747,0.2548193922385962,0.38636363636363635,0.9166666666666667,0.9823232323232323
Degree,degree,123,low_mrr_degree_q25,False,46,46,703,0.8905277106816961,0.17263306060686498,0.8075483091787439,0.9861111111111112,0.996376811594203
Degree,degree,123,low_mrr_degree_q25,True,17,17,212,0.42377974261329876,0.06842319542468608,0.06338383838383838,0.8316399286987521,0.9458110516934046
Two-stage v1,two_stage_balanced_layout_v1,7,far_and_low_mrr,False,57,57,891,0.8270456325107017,0.23508860210407384,0.7161859073657432,0.9202172096908938,0.9689168573607934
Two-stage v1,two_stage_balanced_layout_v1,7,far_and_low_mrr,True,6,6,84,0.8472222222222223,0.3000771505734755,0.7777777777777777,0.8333333333333334,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,far_hard_current,False,43,43,669,0.8215931584887155,0.22946645253713954,0.7047613855114003,0.9155592469545958,0.9587967644084935
Two-stage v1,two_stage_balanced_layout_v1,7,far_hard_current,True,20,20,306,0.8448214285714286,0.26442636344253084,0.7592261904761906,0.9041666666666666,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,low_mrr_degree_q25,False,47,47,752,0.864875500351911,0.2252164407605833,0.7769235569651851,0.936339074636947,0.9835800185013877
Two-stage v1,two_stage_balanced_layout_v1,7,low_mrr_degree_q25,True,16,16,223,0.7234866168689698,0.2550190652419792,0.5608660130718954,0.8402777777777778,0.9375
Two-stage v1,two_stage_balanced_layout_v1,42,far_and_low_mrr,False,55,55,762,0.8671752630085963,0.21302298890162769,0.7788167388167389,0.9486291486291487,0.991919191919192
Two-stage v1,two_stage_balanced_layout_v1,42,far_and_low_mrr,True,8,8,95,0.9044495001526252,0.27025762555137167,0.875,0.9270833333333334,0.9583333333333334
Two-stage v1,two_stage_balanced_layout_v1,42,far_hard_current,False,45,45,617,0.8611154449117412,0.21245546302289942,0.7667019400352734,0.9520282186948854,0.9901234567901235
Two-stage v1,two_stage_balanced_layout_v1,42,far_hard_current,True,18,18,240,0.8988911358703024,0.23850555021400632,0.8518518518518519,0.9305555555555556,0.9814814814814815
Two-stage v1,two_stage_balanced_layout_v1,42,low_mrr_degree_q25,False,50,50,702,0.8938989621489621,0.19149338828130938,0.8164761904761905,0.9712698412698413,0.9966666666666667
Two-stage v1,two_stage_balanced_layout_v1,42,low_mrr_degree_q25,True,13,13,155,0.7873297968650532,0.2968503059367717,0.6931623931623931,0.8482905982905984,0.952991452991453
Two-stage v1,two_stage_balanced_layout_v1,123,far_and_low_mrr,False,52,52,774,0.9072633385133385,0.1487650823601952,0.8261800699300699,0.9941239316239316,0.9951923076923077
Two-stage v1,two_stage_balanced_layout_v1,123,far_and_low_mrr,True,11,11,141,0.7656766073432739,0.24130558466622634,0.5997474747474748,0.9646464646464646,0.9646464646464646
Two-stage v1,two_stage_balanced_layout_v1,123,far_hard_current,False,41,41,579,0.9050792477621746,0.14503573941639794,0.8249384084749939,0.9925474254742547,0.9939024390243902
Two-stage v1,two_stage_balanced_layout_v1,123,far_hard_current,True,22,22,336,0.8405403238736572,0.21733547376738718,0.7152777777777778,0.9823232323232323,0.9823232323232323
Two-stage v1,two_stage_balanced_layout_v1,123,low_mrr_degree_q25,False,46,46,703,0.9167654808959157,0.14813104516914655,0.8398715415019763,0.9981884057971014,0.9981884057971014
Two-stage v1,two_stage_balanced_layout_v1,123,low_mrr_degree_q25,True,17,17,212,0.7899367154269115,0.21004291639943934,0.6426173499702912,0.9640522875816994,0.9673202614379084
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,far_and_low_mrr,False,57,57,891,0.8453100150561114,0.23976416725587493,0.754199633069602,0.9333505331957345,0.9922027290448343
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,far_and_low_mrr,True,6,6,84,0.9179012345679012,0.0990120378062391,0.8518518518518517,0.986111111111111,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,far_hard_current,False,43,43,669,0.8352219831309673,0.2459624119336399,0.7404620763033896,0.936844505243958,0.9896640826873385
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,far_hard_current,True,20,20,306,0.8887766495487084,0.19423797299894557,0.8130310457516339,0.9416666666666667,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,low_mrr_degree_q25,False,47,47,752,0.8979446213679222,0.2027509939423636,0.8332811848143513,0.9671985815602837,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,low_mrr_degree_q25,True,16,16,223,0.7179175663320884,0.2606480493936329,0.5585171568627451,0.8537071078431373,0.9722222222222222
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,far_and_low_mrr,False,55,55,762,0.87846409226844,0.18586982782706618,0.7891841908640328,0.9736489114749984,0.9917099567099567
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,far_and_low_mrr,True,8,8,95,0.8397972020933978,0.12487802725184802,0.7012379227053139,0.9739583333333334,0.9947916666666667
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,far_hard_current,False,45,45,617,0.8798891956138333,0.17628417087517714,0.7886996256561474,0.9780990721570432,0.9898677248677248
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,far_hard_current,True,18,18,240,0.8577160493827161,0.18965973390026497,0.7513083735909823,0.9626610305958132,0.9976851851851851
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,low_mrr_degree_q25,False,50,50,702,0.8940512422360248,0.17771519456479237,0.8158803877282138,0.9799026915113872,0.9942142857142858
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,low_mrr_degree_q25,True,13,13,155,0.7947185061315497,0.1672871042685882,0.6323857302118172,0.9497863247863247,0.983974358974359
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,far_and_low_mrr,False,52,52,774,0.878687967352183,0.20471667800397,0.7876373626373626,0.9711538461538461,0.9903846153846154
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,far_and_low_mrr,True,11,11,141,0.7556818181818182,0.26452036943280655,0.6098484848484849,0.8686868686868686,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,far_hard_current,False,41,41,579,0.9112519262447526,0.1589639210233146,0.8327235772357723,0.9986449864498644,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,far_hard_current,True,22,22,336,0.7564975148308482,0.2778121656157401,0.6147186147186147,0.8686868686868686,0.9772727272727273
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,low_mrr_degree_q25,False,46,46,703,0.8721641756541586,0.21029688011565348,0.7756383712905451,0.967391304347826,0.9891304347826086
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,low_mrr_degree_q25,True,17,17,212,0.8167483660130719,0.2431829601763834,0.7050653594771241,0.9150326797385621,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,far_and_low_mrr,False,57,57,891,0.8544199364120544,0.2266611163008195,0.7607341741680145,0.9415061346175897,0.9769378511638573
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,far_and_low_mrr,True,6,6,84,0.7266203703703704,0.2481978512274219,0.5370370370370371,0.9212962962962963,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,far_hard_current,False,43,43,669,0.8633986680161267,0.21363350369120543,0.7718886745800444,0.951531387748898,0.9752431980544155
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,far_hard_current,True,20,20,306,0.7967757936507937,0.26119652692392886,0.6696428571428571,0.913888888888889,0.9875
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,low_mrr_degree_q25,False,47,47,752,0.9090830879581764,0.17187985886556378,0.8435179714809142,0.9689716312056738,0.9911347517730497
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,low_mrr_degree_q25,True,16,16,223,0.6459220914796895,0.269329772422541,0.4336703431372549,0.8532475490196079,0.9438827614379085
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,far_and_low_mrr,False,55,55,762,0.9150296981357587,0.16162426558580373,0.8574963924963924,0.9691919191919193,0.9969696969696971
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,far_and_low_mrr,True,8,8,95,0.7666344148001756,0.1843370260352922,0.5837107487922705,0.9739583333333334,0.9739583333333334
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,far_hard_current,False,45,45,617,0.9209930878449397,0.14402967991488316,0.8622486772486773,0.9839506172839506,0.9962962962962963
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,far_hard_current,True,18,18,240,0.8341677646025472,0.21592262429640421,0.7239331723027376,0.9344135802469135,0.988425925925926
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,low_mrr_degree_q25,False,50,50,702,0.9297548901715568,0.14725382210417742,0.8810238095238095,0.9761111111111112,0.9966666666666667
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,low_mrr_degree_q25,True,13,13,155,0.7670741697915612,0.1972132619824739,0.5985228539576366,0.9455128205128205,0.983974358974359
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,far_and_low_mrr,False,52,52,774,0.9156500906500906,0.18481114064945026,0.8567453379953379,0.9861111111111112,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,far_and_low_mrr,True,11,11,141,0.789330808080808,0.21843857546194564,0.6515151515151515,0.9507575757575758,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,far_hard_current,False,41,41,579,0.9551808737784347,0.10725980903300694,0.9175659029317567,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,far_hard_current,True,22,22,336,0.7788194444444444,0.2635323149238602,0.6407828282828283,0.9425505050505051,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,low_mrr_degree_q25,False,46,46,703,0.9126994583516322,0.1944682329643126,0.8537604303908652,0.9842995169082126,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,low_mrr_degree_q25,True,17,17,212,0.8418981481481481,0.1936354007515445,0.7320261437908497,0.9681372549019607,1.0
