method_short,method,start_hour,seed_count,scenario_count_mean,scenario_count_min,scenario_count_max,scenario_mrr_mean,scenario_mrr_std_across_seed,scenario_top1_mean,scenario_top1_std_across_seed,scenario_top3_mean,scenario_top3_std_across_seed,scenario_top5_mean,scenario_top5_std_across_seed
Degree,degree,20,3,10.333333333333334,7,12,0.8092059817754262,0.01605125666838535,0.6653990299823633,0.06435730927245986,0.9490740740740741,0.06563632814239734,0.9861111111111112,0.024056261216234394
Two-stage v1,two_stage_balanced_layout_v1,0,3,8.0,5,11,0.8048905723905725,0.05487112795286237,0.6630976430976431,0.07775633237308462,0.9307359307359307,0.07152689022449489,0.9777777777777777,0.03849001794597514
Two-stage v1,two_stage_balanced_layout_v1,2,3,8.333333333333334,3,12,0.901946984766678,0.056889614992609125,0.8358960448474515,0.09326608539174817,0.9722222222222222,0.048112522432468864,0.9855072463768115,0.025102185616940338
Two-stage v1,two_stage_balanced_layout_v1,6,3,7.0,3,10,0.7880600495183828,0.1834666440194535,0.6456018518518519,0.2774827715891684,0.9243055555555556,0.10300977944105037,0.9594907407407408,0.06136442658246099
Two-stage v1,two_stage_balanced_layout_v1,8,3,8.0,4,12,0.9390294312169312,0.030643345564076847,0.8981481481481483,0.0657281058541698,0.9814814814814815,0.03207501495497922,0.9953703703703703,0.008018753738744782
Two-stage v1,two_stage_balanced_layout_v1,12,3,8.0,7,9,0.8245670293151554,0.1334592656830357,0.7317754262198705,0.20556969115067436,0.8988278953556731,0.10150231697505943,0.9367651381540271,0.050949342275445036
Two-stage v1,two_stage_balanced_layout_v1,14,3,9.0,8,10,0.7981424555382889,0.15192440993725462,0.6703703703703704,0.2229213539371055,0.9104166666666668,0.11462120586232433,0.994675925925926,0.005212189930184048
Two-stage v1,two_stage_balanced_layout_v1,18,3,4.333333333333333,4,5,0.8652095204178538,0.05073487420407408,0.768287037037037,0.09704928402006159,0.9657407407407407,0.03473148024724269,0.9907407407407408,0.016037507477489613
Two-stage v1,two_stage_balanced_layout_v1,20,3,10.333333333333334,7,12,0.8932668283362727,0.03015715500595935,0.8080357142857143,0.037484964395201534,0.9706790123456791,0.046833305263868884,0.9953703703703703,0.008018753738744782
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,0,3,8.0,5,11,0.8181106701940036,0.04606632618929497,0.6646103896103895,0.09256763576759795,0.9745670995670995,0.02230461455143388,0.9985569985569986,0.002499351814673692
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,2,3,8.333333333333334,3,12,0.8252604906696979,0.013888338946524517,0.6975716241700897,0.049700022916182814,0.9630264279624893,0.03676648574215697,0.9933333333333333,0.011547005383792462
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,6,3,7.0,3,10,0.912772266313933,0.07997901980924259,0.8583333333333334,0.11327749168946492,0.9634259259259258,0.05178774145112973,0.9916666666666667,0.007349309197401614
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,8,3,8.0,4,12,0.9148019547325102,0.028155871950936526,0.8422067901234568,0.040132729816383765,0.9845679012345679,0.02672917912914935,1.0,0.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,12,3,8.0,7,9,0.8747167719968646,0.05636143397475603,0.8059964726631392,0.07442851864512984,0.9266240446796002,0.06805587454245735,1.0,0.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,14,3,9.0,8,10,0.7802455255078712,0.07225984257977788,0.6512345679012346,0.09355212695202271,0.9068801440329218,0.0747248724092454,0.9800925925925926,0.03094241631760549
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,18,3,4.333333333333333,4,5,0.8817515432098766,0.056560207795851664,0.7939814814814814,0.09798395376526331,0.9777777777777779,0.03849001794597505,0.9777777777777779,0.03849001794597505
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,20,3,10.333333333333334,7,12,0.9180353468547913,0.06049472656619141,0.8552138447971781,0.1102910017876761,0.9867724867724869,0.0139360499376359,0.9953703703703703,0.008018753738744782
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,0,3,8.0,5,11,0.8238828763828764,0.010364616108005242,0.6798364598364598,0.029713082814997425,0.9696969696969697,0.05248638810814782,1.0,0.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,2,3,8.333333333333334,3,12,0.9533614744756048,0.04005402010442606,0.922189413314733,0.054326535308455555,0.9787581699346405,0.03679192891894684,0.988562091503268,0.019811038648663584
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,6,3,7.0,3,10,0.8708132248410024,0.14154086324074186,0.7939814814814815,0.21919964076222395,0.9467592592592592,0.0622422669432813,0.9902777777777777,0.008448281292080917
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,8,3,8.0,4,12,0.9106867283950617,0.03068266808172466,0.8414351851851851,0.05708964099601168,0.9787808641975309,0.03675262130258036,1.0,0.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,12,3,8.0,7,9,0.8875496031746031,0.08348443845015302,0.8087797619047619,0.1394588203662567,0.9666923868312757,0.05243555646017711,1.0,0.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,14,3,9.0,8,10,0.8678575715265531,0.013881632001829985,0.7697659465020577,0.016842225827630074,0.9734182098765433,0.010195920618950917,0.9875000000000002,0.011023963796102421
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,18,3,4.333333333333333,4,5,0.874163760622094,0.045695884776397105,0.7976851851851853,0.06389392089684291,0.9777777777777779,0.03849001794597505,0.9777777777777779,0.03849001794597505
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,20,3,10.333333333333334,7,12,0.8665781889822896,0.05048554939969817,0.7835097001763668,0.08677473837789354,0.9584435626102293,0.03712010792925777,0.9834656084656085,0.018003515329121922
