method_short,method,seed,start_hour,scenario_count,row_count,window_count,scenario_mrr_mean,scenario_mrr_std,scenario_top1_mean,scenario_top3_mean,scenario_top5_mean
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,8,8,8,126,0.9236111111111112,0.11738253537896061,0.8541666666666666,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,12,8,8,126,0.822974537037037,0.26872687791605643,0.7361111111111112,0.8541666666666667,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,14,8,8,126,0.7875,0.3028669593430891,0.6666666666666666,0.9427083333333334,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,18,5,5,72,0.8402777777777779,0.2388076771231387,0.7499999999999999,0.9333333333333333,0.9333333333333333
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,20,7,7,120,0.9672619047619048,0.03323536087103767,0.9464285714285714,0.988095238095238,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,0,11,11,105,0.8558201058201059,0.22332571194951972,0.756132756132756,0.9653679653679653,0.9956709956709957
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,2,10,10,164,0.8123188405797102,0.23867261398324738,0.6711462450592885,0.9626086956521739,0.9800000000000001
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,6,3,3,42,0.9523148148148147,0.042950888309607346,0.9166666666666666,0.9861111111111112,0.9861111111111112
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,8,4,4,36,0.9375,0.07978559231302816,0.875,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,12,9,9,150,0.9347736625514403,0.13956556694800717,0.8842592592592592,0.9891975308641976,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,14,10,10,132,0.8486044973544974,0.12476647859313753,0.7361111111111112,0.9569444444444445,0.9958333333333333
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,18,4,4,72,0.9461805555555556,0.09426299972568211,0.90625,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,20,12,12,156,0.8505015432098766,0.20998331447829977,0.7326388888888888,0.9722222222222222,0.9861111111111112
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,0,8,8,90,0.7667658730158731,0.21570973779617772,0.571031746031746,0.9583333333333334,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,2,3,3,39,0.823529411764706,0.30565602486509597,0.6666666666666666,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,6,8,8,120,0.9652777777777778,0.09820927516479827,0.9305555555555556,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,8,12,12,186,0.8832947530864197,0.19567675665506393,0.7974537037037037,0.9537037037037037,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,12,7,7,84,0.8664021164021164,0.25345447921760883,0.7976190476190476,0.9365079365079365,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,14,9,9,132,0.7046320791691162,0.3213971228769077,0.5509259259259259,0.8209876543209877,0.9444444444444444
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,18,4,4,90,0.8587962962962963,0.16348558873157015,0.7256944444444444,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,20,12,12,174,0.9363425925925926,0.14317359714283148,0.8865740740740741,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,0,5,5,81,0.8228571428571427,0.17114394360627133,0.6457142857142857,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,2,12,12,186,0.9082794168391994,0.1977876966023889,0.8629582267689685,0.9362745098039215,0.9656862745098039
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,6,10,10,138,0.7077048260381593,0.303169022604133,0.5416666666666667,0.875,0.9847222222222222
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,8,8,8,126,0.9418402777777778,0.16450053590103703,0.90625,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,12,8,8,126,0.8114583333333333,0.24754164980108573,0.6822916666666666,0.90625,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,14,8,8,126,0.8807126322751323,0.15657243089307016,0.7864583333333334,0.9739583333333334,0.9791666666666667
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,18,5,5,72,0.8244588744588744,0.3047805352746468,0.7333333333333333,0.9333333333333333,0.9333333333333333
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,20,7,7,120,0.8252267573696146,0.2581584929131655,0.7023809523809523,0.9285714285714286,0.9642857142857143
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,0,11,11,105,0.814069264069264,0.24428052917676782,0.6937950937950937,0.9090909090909091,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,2,10,10,164,0.9669565217391304,0.07156544631657256,0.9339130434782609,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,6,3,3,42,0.9433922558922557,0.049049143686836556,0.9027777777777778,0.9861111111111112,0.9861111111111112
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,8,4,4,36,0.9097222222222222,0.1048588116009826,0.8194444444444444,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,12,9,9,150,0.9768518518518517,0.0240562612162344,0.9583333333333334,0.9938271604938271,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,14,10,10,132,0.8697222222222223,0.1476986816078493,0.7527777777777778,0.9833333333333334,0.9833333333333334
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,18,4,4,72,0.9143518518518519,0.17129629629629628,0.8611111111111112,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,20,12,12,156,0.8516683034044146,0.23554784245610108,0.773148148148148,0.9467592592592592,0.9861111111111112
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,0,8,8,90,0.8347222222222223,0.253402768262233,0.7,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,2,3,3,39,0.9848484848484849,0.026243194054073875,0.9696969696969697,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,6,8,8,120,0.9613425925925926,0.059598791690750386,0.9375,0.9791666666666667,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,8,12,12,186,0.8804976851851851,0.21950561657596757,0.7986111111111112,0.9363425925925926,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,12,7,7,84,0.8743386243386243,0.17155528826362926,0.7857142857142857,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,14,9,9,132,0.8531378600823045,0.2739197530864198,0.7700617283950617,0.9629629629629629,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,18,4,4,90,0.8836805555555556,0.15123112319710114,0.7986111111111112,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,20,12,12,174,0.9228395061728395,0.18908285962719346,0.875,1.0,1.0
