method_short,method,hard_definition,is_hard_under_definition,seed_count,scenario_count_mean,scenario_count_min,scenario_count_max,scenario_mrr_mean,scenario_mrr_std_across_seed,scenario_top1_mean,scenario_top1_std_across_seed,scenario_top3_mean,scenario_top3_std_across_seed,scenario_top5_mean,scenario_top5_std_across_seed
Two-stage v1,two_stage_balanced_layout_v1,far_hard_current,True,3,20.0,18,22,0.8614176294384627,0.03252352575569213,0.7754519400352734,0.06971782870158268,0.9390151515151515,0.03975909659005062,0.9879349046015712,0.010457152162505135
Two-stage v1,two_stage_balanced_layout_v1,low_mrr_degree_q25,False,3,47.666666666666664,46,50,0.8918466477989296,0.026005797735463,0.811090429647784,0.031817715255602834,0.9685991072346299,0.031011039267569505,0.9928116969883852,0.008030992358404043
Two-stage v1,two_stage_balanced_layout_v1,low_mrr_degree_q25,True,3,15.333333333333334,13,17,0.7669177097203116,0.037635008646118844,0.6322152520681933,0.06675878801203616,0.8842068878833585,0.06926411201252446,0.9526039048097871,0.014913907712304468
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,far_and_low_mrr,False,3,54.666666666666664,52,57,0.8674873582255781,0.01920646876850353,0.7770070621903326,0.01976694935273432,0.9593844302748596,0.02258050454671165,0.9914324337131354,0.0009402917529639366
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,far_and_low_mrr,True,3,8.333333333333334,6,11,0.837793418281039,0.08112826958178851,0.7209794198018834,0.12220352875818263,0.9429187710437711,0.06457324521481422,0.998263888888889,0.0030070326520292502
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,far_hard_current,False,3,43.0,41,45,0.875454368329851,0.03820849162490484,0.787295093065103,0.046146783987873904,0.9711961879502885,0.03147319855209018,0.9931772691850211,0.005909535460986312
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,far_hard_current,True,3,20.0,18,22,0.8343300712540908,0.06917095019009682,0.7263526780204103,0.10148421124300466,0.9243381886497829,0.04932537774217599,0.9916526374859709,0.012507036228156932
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,low_mrr_degree_q25,False,3,47.666666666666664,46,50,0.8880533464193685,0.013897442605410346,0.8082666479443702,0.02956603224744805,0.9714975258064991,0.0072797248171329425,0.9944482401656315,0.005438557990658887
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,low_mrr_degree_q25,True,3,15.333333333333334,13,17,0.7764614794922368,0.05188324399723973,0.6319894155172289,0.07327490512705657,0.9061753707893413,0.04864815436859324,0.9853988603988605,0.013943569765279074
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,far_and_low_mrr,False,3,54.666666666666664,52,57,0.8950332417326345,0.03517352198053185,0.824991968219915,0.055650149083611856,0.96560305497354,0.022518013717474594,0.991302516044518,0.012532094077373221
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,far_and_low_mrr,True,3,8.333333333333334,6,11,0.760861864417118,0.03175124411581966,0.590754312448153,0.057563169781961444,0.9486707351290685,0.026392967132915477,0.9913194444444445,0.015035163260146483
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,far_hard_current,False,3,43.0,41,45,0.9131908765465004,0.046385872844086705,0.8505677515868261,0.07353772319903236,0.9784940016776162,0.024690738826397756,0.9905131647835707,0.01335321190625442
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,far_hard_current,True,3,20.0,18,22,0.803254334232595,0.028237169690560303,0.6781196192428077,0.04221832006880054,0.9302843247287692,0.014770244534182431,0.9919753086419755,0.006964990182960918
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,low_mrr_degree_q25,False,3,47.666666666666664,46,50,0.9171791454937885,0.011039997706339422,0.8594340704651963,0.01938593860494674,0.9764607530749991,0.007669922239156504,0.9959338061465721,0.004477830941180843
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,low_mrr_degree_q25,True,3,15.333333333333334,13,17,0.7516314698064663,0.09889646825823445,0.5880731136285804,0.14945214535302076,0.9222992081447963,0.06086103005054256,0.9759523734707559,0.02890588702191448
