method_short,method,layout_file,monitor_budget_n,candidate_node_id,min_monitor_hop,nearest_monitor,observability_tier_layout,is_direct,is_near,is_far
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1306601,0,HS1306601,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1316202,2,HS1316415,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1313618,1,HS1313640,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1306471,2,HS1316721,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS2003015,0,HS2003015,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1313140,2,HS1313025,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1308302,1,HS1308324,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS2003085,1,HS2003111,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1306571,1,HS1306601,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1316643,0,HS1316643,direct,True,False,False
