method_short,method,seed,monitor_budget_n,scenario_id,n_windows,scenario_mrr,scenario_top1,scenario_top3,scenario_top5,source_json,defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,observability_tier,nearest_monitors,is_hard_candidate,min_monitor_hop,nearest_monitor,observability_tier_layout
Cand-Obs,candidate_observability,7,25,349,18,0.8624579124579124,0.8333333333333334,0.8888888888888888,0.8888888888888888,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,349,E,HS1316563,HS1316467.1,40,12,18,-6.8028,0.0,0.0,0.0,17.007,direct,HS1316563,False,2,HS1316585,near
Cand-Obs,candidate_observability,7,25,350,6,0.3873737373737374,0.3333333333333333,0.3333333333333333,0.3333333333333333,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,350,E,HS1316563,HS1316467.1,40,12,6,-6.8028,0.0,0.0,0.0,17.007,direct,HS1316563,False,2,HS1316585,near
Cand-Obs,candidate_observability,7,25,357,12,0.2166666666666666,0.0,0.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,357,E,HS1316643,HS1316671.1,40,12,12,-3.5514,0.0,0.0,0.0,8.8784,far,HS1316467;HS1316563,True,1,HS1316585,near
Cand-Obs,candidate_observability,7,25,367,24,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,367,E,HS1324403,14,60,18,24,-35.3267,0.0,0.0,0.0,58.8778,near,HS1313044;HS1318293,False,1,HS1313044,near
Cand-Obs,candidate_observability,7,25,372,12,0.9027777777777778,0.8333333333333334,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,372,E,HS1344263,MH0242782.1,40,6,12,-3.5554,0.0,0.0,0.0,8.8884,far,HS1316563,True,1,HS1316585,near
Cand-Obs,candidate_observability,7,25,384,18,0.638888888888889,0.3888888888888889,0.9444444444444444,0.9444444444444444,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,384,E,HS2003046,HS1306601.1,50,12,18,-16.628,0.0,0.0,0.0,33.256,near,HS1306601,False,1,HS1306601,near
Cand-Obs,candidate_observability,7,25,391,18,0.1574074074074074,0.0,0.0,0.1111111111111111,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,391,E,MH0101924,MH0100292.1,40,6,18,-12.1274,0.0,0.0,0.0,30.3184,near,HS1313402;MH0100292,False,1,HS1313402,near
Cand-Obs,candidate_observability,7,25,392,24,0.1719551282051282,0.0,0.0,0.2916666666666667,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,392,E,MH0101924,MH0100292.1,40,6,24,-12.1274,0.0,0.0,0.0,30.3184,near,HS1313402;MH0100292,False,1,HS1313402,near
Cand-Obs,candidate_observability,7,25,393,6,0.2111111111111111,0.0,0.1666666666666666,0.6666666666666666,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,393,E,MH0101924,MH0100292.1,50,18,6,-15.1592,0.0,0.0,0.0,30.3184,near,HS1313402;MH0100292,False,1,HS1313402,near
Cand-Obs,candidate_observability,7,25,399,21,0.5476190476190477,0.0952380952380952,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,399,E,MH0200661,VP0232532.1,60,0,24,-0.8409,0.0,0.0,0.0,1.4016,far,HS1306571,True,1,MH0201710,near
Cand-Obs,candidate_observability,7,25,408,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,408,E,MH0201710,25,60,6,12,-2.0695,0.0,0.0,0.0,3.4491,far,HS1306571,True,0,MH0201710,direct
Cand-Obs,candidate_observability,7,25,410,18,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,410,E,MH0201710,25,60,6,18,-2.0695,0.0,0.0,0.0,3.4491,far,HS1306571,True,0,MH0201710,direct
Cand-Obs,candidate_observability,42,25,14,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,14,I,VP0232532,,40,14,6,0.5776,0.0,0.0,0.0,1.444,far,HS1306571,True,2,MH0201710,near
Cand-Obs,candidate_observability,42,25,21,23,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,21,I,HS1308259,,50,2,24,6.1481,0.0,0.0,0.0,12.2961,near,HS1308324,False,1,HS1308324,near
