scenario_id,relative_hour,hop_band,exceedance_rate,node_count,residual_energy_q90,hydraulic_response_index_q90,is_active,defect_type,true_node,start_hour,duration_h,flow,abs_flow
7,2.5,3+-hop,0.008,125,0.06112994245392993,0.13948459246281011,True,I,MH0258475,8,12,1.1101,1.1101
7,2.666667,0-hop,0.0,1,6.902802031874783e-05,0.0003956864725991829,True,I,MH0258475,8,12,1.1101,1.1101
7,2.666667,1-hop,0.0,1,2.649859448268957e-05,0.00011054446651595648,True,I,MH0258475,8,12,1.1101,1.1101
7,2.666667,2-hop,0.0,1,0.00025989633085159934,0.0006451686330894777,True,I,MH0258475,8,12,1.1101,1.1101
7,2.666667,3+-hop,0.008,125,0.06199431215780698,0.14112048185990553,True,I,MH0258475,8,12,1.1101,1.1101
7,2.833333,0-hop,0.0,1,0.00019559538198640476,0.001121203337391238,True,I,MH0258475,8,12,1.1101,1.1101
7,2.833333,1-hop,0.0,1,8.37305225472693e-05,0.0003492995053808109,True,I,MH0258475,8,12,1.1101,1.1101
7,2.833333,2-hop,0.0,1,0.0007823039469131146,0.0019419972819032642,True,I,MH0258475,8,12,1.1101,1.1101
7,2.833333,3+-hop,0.008,125,0.06174106482429224,0.14728940685826628,True,I,MH0258475,8,12,1.1101,1.1101
7,3.0,0-hop,0.0,1,0.00010736103321654577,0.0006154212207143494,True,I,MH0258475,8,12,1.1101,1.1101
7,3.0,1-hop,0.0,1,8.135424612458895e-05,0.00033938636792700197,True,I,MH0258475,8,12,1.1101,1.1101
7,3.0,2-hop,0.0,1,6.258480601619027e-05,0.00015536099958522026,True,I,MH0258475,8,12,1.1101,1.1101
7,3.0,3+-hop,0.008,125,0.062248060926899204,0.1486471493257859,True,I,MH0258475,8,12,1.1101,1.1101
7,3.166667,0-hop,0.0,1,0.00018832784613879866,0.0010795439415292602,True,I,MH0258475,8,12,1.1101,1.1101
7,3.166667,1-hop,0.0,1,0.0001580129743863252,0.000659184394385392,True,I,MH0258475,8,12,1.1101,1.1101
7,3.166667,2-hop,0.0,1,0.000456901026630219,0.0011342145918039742,True,I,MH0258475,8,12,1.1101,1.1101
7,3.166667,3+-hop,0.008,125,0.06267042939098051,0.149439856553297,True,I,MH0258475,8,12,1.1101,1.1101
7,3.333333,0-hop,0.0,1,0.0001779802902578289,0.0010202290739195943,True,I,MH0258475,8,12,1.1101,1.1101
7,3.333333,1-hop,0.0,1,0.0001725288014980679,0.0007197402236824403,True,I,MH0258475,8,12,1.1101,1.1101
7,3.333333,2-hop,0.0,1,0.0004292255168980325,0.0010655126954537534,True,I,MH0258475,8,12,1.1101,1.1101
7,3.333333,3+-hop,0.008,125,0.06305779387770467,0.14992092704825652,True,I,MH0258475,8,12,1.1101,1.1101
7,3.5,0-hop,0.0,1,0.00013827723176216834,0.0007926408699554113,True,I,MH0258475,8,12,1.1101,1.1101
7,3.5,1-hop,0.0,1,0.00014211015286470815,0.0005928424258574373,True,I,MH0258475,8,12,1.1101,1.1101
7,3.5,2-hop,0.0,1,0.0003203385946304912,0.0007952109694906316,True,I,MH0258475,8,12,1.1101,1.1101
7,3.5,3+-hop,0.008,125,0.06296622689884054,0.14959305152050803,True,I,MH0258475,8,12,1.1101,1.1101
