scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,dominant_hop_band,active_peak_response_index,peak_0-hop,peak_1-hop,peak_2-hop,peak_3+-hop,flow_rank_pct
19,I,MH0201629,8,12,4.1913,4.1913,0-hop,2.051286235530481,2.051286235530481,0.0003984283095763028,0.662542605637389,0.23460905171133403,0.384
20,I,MH0201629,20,6,2.7942,2.7942,0-hop,2.1827572115868077,2.1827572115868077,0.0007140753716859498,0.48872433772410495,0.21429798466630298,0.278
21,I,HS1308259,2,24,6.1481,6.1481,2-hop,0.8023036564745313,0.011164998695715167,0.00510702130032406,0.8023036564745313,0.02848790036863283,0.492
22,I,HS1308259,2,12,7.3777,7.3777,2-hop,0.9555304324648993,0.008963794266079099,0.005249574014252239,0.9555304324648993,0.03423084438227086,0.524
23,I,HS1308259,14,24,4.9184,4.9184,2-hop,0.8680922444883664,0.010152576062479499,0.004009806040841912,0.8680922444883664,0.022887609239889122,0.448
24,I,HS1308259,14,18,7.3777,7.3777,2-hop,1.19712754066927,0.009862164688924743,0.006198568261672096,1.19712754066927,0.033538760390154604,0.524
25,I,HS1308259,2,18,7.3777,7.3777,2-hop,0.9555304324648993,0.01131527536412231,0.006150377930942511,0.9555304324648993,0.03423084438227086,0.524
26,I,HS1311339,2,18,3.6022,3.6022,3+-hop,0.4451800202019237,0.0005292289767108092,0.0013531250220499627,0.0031149414315899226,0.4451800202019237,0.366
27,I,HS1311339,14,6,3.0019,3.0019,3+-hop,0.3677084280578242,0.0002944848410412032,0.00040305783126273157,0.0018755289639013147,0.3677084280578242,0.308
28,I,HS1311339,8,18,2.4015,2.4015,3+-hop,0.29509982773224525,0.0006720685447072509,0.0009021365588487181,0.002081449701534426,0.29509982773224525,0.23
29,I,HS1311339,2,12,2.4015,2.4015,3+-hop,0.2944106896759158,0.000548517481343423,0.001084943628983336,0.005095796690881656,0.2944106896759158,0.23
30,I,HS1311339,8,6,3.6022,3.6022,3+-hop,0.4435666815709153,0.00021969345234196223,0.000840834075798883,0.0019978920889539816,0.4435666815709153,0.366
31,I,HS1311288,20,6,0.2158,0.2158,3+-hop,0.0340065690857775,0.017812019240691764,0.033342947226157445,0.0005854279535610186,0.0340065690857775,0.018
32,I,HS1311288,14,24,0.1798,0.1798,1-hop,0.043500883366525224,0.016121746726474352,0.043500883366525224,0.0005736925673203074,0.028637491288351486,0.01
33,I,HS1311288,8,6,0.1798,0.1798,1-hop,0.03882714040419149,0.012557653313006883,0.03882714040419149,0.0006655241697488075,0.023160526359744554,0.01
34,I,HS1311288,2,18,0.2158,0.2158,1-hop,0.06211990149751213,0.028915231443212362,0.06211990149751213,0.00054017420169804,0.03365447315963423,0.018
35,I,HS1311288,14,24,0.1439,0.1439,1-hop,0.034861049622949246,0.012958945931612061,0.034861049622949246,0.0007842682291464575,0.02318406192778836,0.004
36,I,HS1313298,8,12,12.8103,12.8103,1-hop,4.331747562213392,0.0007187258366127294,4.331747562213392,0.004789652229831061,0.9830659263123986,0.612
37,I,HS1313298,20,24,12.8103,12.8103,1-hop,4.8096787355414214,0.0033440220664611837,4.8096787355414214,0.003621652680203872,0.9560553443607044,0.612
38,I,HS1313298,8,18,19.2155,19.2155,1-hop,6.646013085567439,0.0004745593642744997,6.646013085567439,0.003740193661255348,1.4629812186563638,0.75
39,I,HS1313298,8,24,12.8103,12.8103,1-hop,4.442664969429551,0.0008635488984283353,4.442664969429551,0.004789652229831061,0.9830659263123986,0.612
40,I,HS1313298,14,24,19.2155,19.2155,1-hop,7.066986079721086,0.0013006032584662397,7.066986079721086,0.003850739292659942,1.464757375680589,0.75
41,I,HS2003046,20,6,29.6789,29.6789,3+-hop,0.5288783230123882,0.0003758645516353686,0.013448402710138509,0.0057657115411855284,0.5288783230123882,0.812
42,I,HS2003046,14,12,44.5183,44.5183,3+-hop,1.4069812199230496,0.0014235352589694694,0.013283115672380079,0.02138672952093421,1.4069812199230496,0.896
43,I,HS2003046,2,18,44.5183,44.5183,3+-hop,1.354793332178077,0.0011733296528454026,0.02213127243321234,0.007227628905040002,1.354793332178077,0.896
44,I,HS2003046,14,12,37.0986,37.0986,3+-hop,1.1689875349217589,0.0011608670136630476,0.013458117599021808,0.005387705513159846,1.1689875349217589,0.852
45,I,HS2003046,8,6,44.5183,44.5183,3+-hop,1.1072129420055719,0.001162599218756229,0.015404312256642867,0.0016784055922552535,1.1072129420055719,0.896
46,I,HS1314505,2,24,15.0955,15.0955,3+-hop,0.0595190332362459,0.00036543384054260673,0.055646514721103366,0.0036645771071883984,0.0595190332362459,0.69
47,I,HS1314505,2,12,15.0955,15.0955,1-hop,0.055646514721103366,0.00036543384054260673,0.055646514721103366,0.0036645771071883984,0.026708593496333474,0.69
48,I,HS1314505,20,6,10.0636,10.0636,1-hop,0.03600993455789633,0.00018980136900411749,0.03600993455789633,0.0027796167256018012,0.020411361102820113,0.564
49,I,HS1314505,14,12,12.5795,12.5795,3+-hop,0.049085000499623985,0.00020910907320855642,0.04482216314761361,0.00303735667951231,0.049085000499623985,0.598
50,I,HS1314505,2,6,12.5795,12.5795,1-hop,0.04662777893455421,0.0003823051204508891,0.04662777893455421,0.004129358189404523,0.022202843903337398,0.598
51,I,HS1316563,20,6,23.2201,23.2201,2-hop,14.344146629199997,0.0003157796306196562,0.001554342334707443,14.344146629199997,0.25336324591729287,0.766
52,I,HS1316563,2,18,27.8641,27.8641,2-hop,16.936480450272704,0.0007819417445826358,0.001782257569043899,16.936480450272704,0.7264504225975419,0.796
53,I,HS1316563,14,18,23.2201,23.2201,2-hop,14.392150353087834,0.000779110991243453,0.0017870766719780362,14.392150353087834,0.5877182906400609,0.766
54,I,HS1316563,14,12,27.8641,27.8641,2-hop,17.05485447082234,0.0003926664240609461,0.0018806270926516044,17.05485447082234,0.7055446649305839,0.796
55,I,HS1316563,14,18,27.8641,27.8641,2-hop,17.105366495080624,0.0006472065833951168,0.0018806270926516044,17.105366495080624,0.7055446649305839,0.796
56,I,HS1316814,14,18,1.397,1.397,2-hop,0.8206745124329906,0.002625371208574955,0.0015037899131958147,0.8206745124329906,0.15233959711714046,0.134
57,I,HS1316814,20,12,1.397,1.397,2-hop,0.8209135696655452,0.002802905103300857,0.0014143034205512464,0.8209135696655452,0.15694788002120671,0.134
58,I,HS1316814,20,24,1.397,1.397,2-hop,0.8209135696655452,0.002802905103300857,0.0014143034205512464,0.8209135696655452,0.15694788002120671,0.134
59,I,HS1316814,2,24,2.0955,2.0955,2-hop,1.150952561372611,0.002159441337175437,0.00127030077207981,1.150952561372611,0.23305163889687866,0.208
60,I,HS1316814,8,18,1.397,1.397,2-hop,0.6825125375552897,0.0022016886705054613,0.0011124455873917753,0.6825125375552897,0.15225667474878035,0.134
61,I,HS1316417,20,6,4.7895,4.7895,3+-hop,0.32731660481334424,0.14951358160896644,0.0003140967785751637,0.022485776206622867,0.32731660481334424,0.438
62,I,HS1316417,8,18,4.7895,4.7895,3+-hop,0.38182073099182556,0.14714360664690568,0.00019783071387984626,0.021022986044338055,0.38182073099182556,0.438
63,I,HS1316417,2,6,4.7895,4.7895,3+-hop,0.3407600312502774,0.15182251587213083,0.0002758101505406555,0.02106738277950159,0.3407600312502774,0.438
64,I,HS1316417,14,6,3.8316,3.8316,3+-hop,0.304702226545477,0.12169926989874688,0.0002684330409538979,0.012316809772186871,0.304702226545477,0.372
65,I,HS1316417,14,6,4.7895,4.7895,3+-hop,0.38223061767505523,0.14757800381025138,0.0002906840613904637,0.015392231977816898,0.38223061767505523,0.438
66,I,HS1313025,2,24,11.1002,11.1002,2-hop,1.9800122946537946,0.000888198089558259,1.2891138877967812,1.9800122946537946,0.9111282277821691,0.576
67,I,HS1313025,8,6,13.3202,13.3202,2-hop,2.2053522300950466,0.0009061846635361035,1.5097309488903257,2.2053522300950466,1.0519037292153242,0.626
68,I,HS1313025,2,24,13.3202,13.3202,2-hop,2.38018251378438,0.0007350072259231006,1.5303258218724198,2.38018251378438,1.0979879645803687,0.626
69,I,HS1313025,20,18,13.3202,13.3202,2-hop,2.2249967902147922,0.0008511906759570089,1.8722167241095824,2.2249967902147922,1.1408243078183469,0.626
70,I,HS1313025,14,18,13.3202,13.3202,2-hop,2.4627397735751657,0.0014497940963621794,1.8723275210086339,2.4627397735751657,1.140238250224819,0.626
71,I,MH0201710,20,6,9.4275,9.4275,2-hop,5.377665875368558,1.7414874897879178,0.0013414513570306186,5.377665875368558,0.5739743226363166,0.546
72,I,MH0201710,20,12,9.4275,9.4275,2-hop,5.377665875368558,1.7414874897879178,0.002857880799225749,5.377665875368558,0.5739743226363166,0.546
73,I,MH0201710,20,24,6.285,6.285,2-hop,3.751350363038155,1.2072524679646355,0.0034447851067128557,3.751350363038155,0.4026570439957176,0.498
74,I,MH0201710,8,24,7.8563,7.8563,2-hop,3.7935743574973775,1.3631900902092706,0.0023988882953842015,3.7935743574973775,0.4311227164516104,0.532
75,I,MH0201710,8,24,6.285,6.285,2-hop,3.0615394038345953,1.0919656817444612,0.0021344080302219174,3.0615394038345953,0.34738410749431436,0.498
76,I,HS1344263,14,12,5.6403,5.6403,3+-hop,0.813456686704108,0.006296159857511926,0.003109206447546769,0.00356073752260439,0.813456686704108,0.486
77,I,HS1344263,8,6,8.4604,8.4604,3+-hop,1.0768063480572274,0.002359869141730172,0.002221733545352888,0.002608212324927121,1.0768063480572274,0.538
78,I,HS1344263,14,12,7.0503,7.0503,3+-hop,1.0147751387234938,0.0040094962027777325,0.003269565212535378,0.005518784005459369,1.0147751387234938,0.516
79,I,HS1344263,8,18,5.6403,5.6403,3+-hop,0.8137221207910985,0.005329161676520428,0.0029378439082111403,0.0031809934393137278,0.8137221207910985,0.486
80,I,HS1344263,14,12,8.4604,8.4604,3+-hop,1.2197099947347918,0.006288364987513765,0.0032339699526389588,0.00499989715433848,1.2197099947347918,0.538
81,I,HS1313471,14,12,3.044,3.044,2-hop,3.210635234698389,1.6924480718246695,0.7891713847778112,3.210635234698389,0.2922749057991223,0.316
82,I,HS1313471,20,18,2.5367,2.5367,2-hop,2.709702025222298,1.4189981635244642,0.6654581038840335,2.709702025222298,0.24987777233985745,0.248
83,I,HS1313471,8,6,3.044,3.044,2-hop,2.5690797458289887,1.483597264459522,0.7526751274302964,2.5690797458289887,0.2730918613032078,0.316
84,I,HS1313471,2,18,3.044,3.044,2-hop,3.123565006940754,1.6708703158505682,0.8274012149811593,3.123565006940754,0.3133922378833018,0.316
85,I,HS1313471,14,18,2.0293,2.0293,2-hop,2.193966457456865,1.141584557799553,0.530607392375396,2.193966457456865,0.19838385963632038,0.188
86,I,MH0200661,8,18,2.0885,2.0885,1-hop,0.3388192520103414,0.0017174419161456156,0.3388192520103414,0.0027312955920709954,0.18887409657873988,0.204
87,I,MH0200661,20,18,1.7404,1.7404,1-hop,0.33423081772301066,0.002773587619543574,0.33423081772301066,0.004838221006718736,0.16214376564312213,0.174
88,I,MH0200661,2,24,1.7404,1.7404,1-hop,0.35318710222219907,0.0017801643499684957,0.35318710222219907,0.008904514313726545,0.18802191301735263,0.174
89,I,MH0200661,20,12,1.7404,1.7404,1-hop,0.33423081772301066,0.002773587619543574,0.33423081772301066,0.004838221006718736,0.16039224876187638,0.174
90,I,MH0200661,8,6,1.7404,1.7404,1-hop,0.24887877949739082,0.0017689936186605464,0.24887877949739082,0.0030754848693772055,0.1424572570960552,0.174
91,I,HS1314237,20,18,13.6559,13.6559,3+-hop,1.1219166601620725,0.0012967857315004533,0.001173443293292849,0.0036257305620932185,1.1219166601620725,0.654
92,I,HS1314237,20,12,13.6559,13.6559,3+-hop,1.1219166601620725,0.0012967857315004533,0.001173443293292849,0.0036257305620932185,1.1219166601620725,0.654
93,I,HS1314237,14,24,13.6559,13.6559,3+-hop,1.0221455999400721,0.001076077267757899,0.0008815755299613153,0.0046872718859910035,1.0221455999400721,0.654
94,I,HS1314237,2,24,10.9247,10.9247,3+-hop,0.823160248408397,0.0019106527924600662,0.001232175379469102,0.0019375099799918624,0.823160248408397,0.572
95,I,HS1314237,8,18,13.6559,13.6559,3+-hop,1.021567397249814,0.001312974948123779,0.001190755264169909,0.0036867525963447147,1.021567397249814,0.654
96,I,HS1306601,20,24,71.9998,71.9998,3+-hop,2.541291334599344,0.3099112136036893,0.08255303800597212,2.502202881353255,2.541291334599344,0.948
97,I,HS1306601,20,18,57.5998,57.5998,2-hop,2.022830708922084,0.3099379484473466,0.08257952252171291,2.022830708922084,1.9936288849905583,0.924
98,I,HS1306601,14,6,86.3997,86.3997,3+-hop,3.209547384147366,0.3160459840149847,0.03380572188115542,2.701889345612112,3.209547384147366,0.964
99,I,HS1306601,8,18,86.3997,86.3997,3+-hop,3.2096003932583588,0.31614541835622145,0.03940929790704341,2.712521282773491,3.2096003932583588,0.964
100,I,HS1306601,2,12,86.3997,86.3997,2-hop,2.9971926062955023,0.29513955210510345,0.0554269533617877,2.9971926062955023,2.8101405400914667,0.964
101,I,HS1316202,20,18,45.5119,45.5119,2-hop,12.464279618672027,0.0012180456043208194,1.7656054869123698,12.464279618672027,0.17745299444535462,0.906
102,I,HS1316202,14,6,45.5119,45.5119,2-hop,11.826246755832692,0.0006870515222778191,1.8802594723589265,11.826246755832692,0.1672928606122822,0.906
103,I,HS1316202,20,24,37.9266,37.9266,2-hop,10.434153381728532,0.0013676717623254983,1.617537178801052,10.434153381728532,0.14310778393767007,0.872
104,I,HS1316202,2,18,30.3413,30.3413,2-hop,8.32630818907141,0.0010194060482376277,1.63614854550356,8.32630818907141,0.12418198057870126,0.818
105,I,HS1316202,2,24,30.3413,30.3413,2-hop,8.32630818907141,0.0010194060482376277,1.63614854550356,8.32630818907141,0.12418198057870126,0.818
106,I,HS1313618,20,6,2.057,2.057,3+-hop,0.2715770414274801,0.001998097674142039,0.002161150075116231,0.005365089670232904,0.2715770414274801,0.196
107,I,HS1313618,20,24,2.057,2.057,3+-hop,0.2715770414274801,0.002386573832698682,0.002161150075116231,0.01001700380013806,0.2715770414274801,0.196
108,I,HS1313618,2,24,2.4684,2.4684,3+-hop,0.3235869616363948,0.0013246709545258915,0.0015891867051215345,0.0052555898479705225,0.3235869616363948,0.244
109,I,HS1313618,2,18,2.057,2.057,3+-hop,0.26962548748433135,0.0014349070898567406,0.0017474740144621218,0.00568929421663956,0.26962548748433135,0.196
110,I,HS1313618,8,24,1.6456,1.6456,3+-hop,0.22012738735261225,0.0007349744989127081,0.0011421359880262084,0.00513171503889528,0.22012738735261225,0.156
111,I,HS1306471,8,6,1.0707,1.0707,3+-hop,0.0771622423440471,0.0704702486325516,0.0015070732352975836,0.0008161153037844222,0.0771622423440471,0.082
112,I,HS1306471,14,24,0.8566,0.8566,0-hop,0.07583464585815716,0.07583464585815716,0.0016902644554422893,0.00215141053610987,0.0757629015694971,0.058
113,I,HS1306471,8,24,0.8566,0.8566,3+-hop,0.06491135816943004,0.056573991981206925,0.001462997104655097,0.0019234236765293372,0.06491135816943004,0.058
114,I,HS1306471,20,6,1.0707,1.0707,0-hop,0.09459244827049096,0.09459244827049096,0.0016500545210119785,0.0016628797719341092,0.08099641054764359,0.082
115,I,HS1306471,8,24,1.2848,1.2848,3+-hop,0.09691582029111691,0.08432392049222945,0.0016960123336849792,0.001576635428953388,0.09691582029111691,0.116
116,I,HS2003015,14,12,37.0893,37.0893,3+-hop,0.27270123830590237,0.0007778086384811331,0.0004013747054944158,0.0024152404559171447,0.27270123830590237,0.846
117,I,HS2003015,14,18,29.6715,29.6715,3+-hop,0.22144047245152615,0.0011195168492639615,0.000469457677909808,0.0021023665544027993,0.22144047245152615,0.806
118,I,HS2003015,14,24,44.5072,44.5072,3+-hop,0.32390878485049285,0.0007321730514334421,0.0004158715801088555,0.002685309910406955,0.32390878485049285,0.888
119,I,HS2003015,2,12,29.6715,29.6715,3+-hop,0.1978705678664609,0.0009229140358746782,0.0005515187596256316,0.0009583547224077207,0.1978705678664609,0.806
120,I,HS2003015,14,6,37.0893,37.0893,3+-hop,0.2262588038592374,0.00043860070138405905,0.0004013747054944158,0.0024152404559171447,0.2262588038592374,0.846
121,I,HS1313140,8,6,3.6018,3.6018,3+-hop,0.36988323690337394,0.12012245026384519,0.000966537927051495,0.3109208027174764,0.36988323690337394,0.358
122,I,HS1313140,8,6,5.4027,5.4027,3+-hop,0.5538987242781322,0.1838653714664748,0.0010913586780101872,0.46628916665847,0.5538987242781322,0.474
123,I,HS1313140,14,6,5.4027,5.4027,3+-hop,0.5222251166025523,0.23606937367743042,0.0010777969782907535,0.4765578209413559,0.5222251166025523,0.474
124,I,HS1313140,14,18,4.5023,4.5023,3+-hop,0.4534388026571168,0.19483014173531016,0.0018406876589844108,0.4084993521657259,0.4534388026571168,0.428
125,I,HS1313140,2,18,3.6018,3.6018,3+-hop,0.39011255490585783,0.15395427323839253,0.0011302427435260943,0.32093707971515795,0.39011255490585783,0.358
126,I,HS1308302,20,6,16.7922,16.7922,1-hop,0.48495645025547485,0.0007642910470671765,0.48495645025547485,0.006542504162168295,0.05685040822142605,0.728
127,I,HS1308302,8,18,13.9935,13.9935,1-hop,0.2794908974086673,0.0008263864051143425,0.2794908974086673,0.00528366466007265,0.0639422994605385,0.676
128,I,HS1308302,20,18,16.7922,16.7922,1-hop,0.6119130693098448,0.0020995296602005636,0.6119130693098448,0.008400962149109494,0.07917971628436724,0.728
129,I,HS1308302,14,18,11.1948,11.1948,1-hop,0.37110099661504986,0.0016578957405390194,0.37110099661504986,0.007826281561538471,0.05969042153981663,0.58
130,I,HS1308302,8,12,16.7922,16.7922,1-hop,0.3052465318744162,0.0012923148839146614,0.3052465318744162,0.00791861157297876,0.07051112129642065,0.728
131,I,HS2003085,14,6,15.6964,15.6964,3+-hop,0.5067248681750945,0.0033247830529665027,0.024960657638165275,0.003693798044006145,0.5067248681750945,0.712
132,I,HS2003085,20,6,12.5572,12.5572,3+-hop,0.4393120290998874,0.0018827286940331148,0.0036084390480337616,0.0037527544744160686,0.4393120290998874,0.592
133,I,HS2003085,14,24,18.8357,18.8357,3+-hop,0.6524139949317436,0.003947732465781976,0.09813412589761131,0.003758144139807455,0.6524139949317436,0.744
134,I,HS2003085,8,12,15.6964,15.6964,3+-hop,0.5258424072255646,0.0034648896457347782,0.0252692623059721,0.004147399335553337,0.5258424072255646,0.712
135,I,HS2003085,2,24,15.6964,15.6964,3+-hop,0.5434583543909418,0.009053336998695522,0.0018193234799727402,0.01144463839312546,0.5434583543909418,0.712
136,I,HS1306571,8,6,64.5455,64.5455,1-hop,2.7568475907642704,0.30781428329058874,2.7568475907642704,0.0007322256551161452,2.5772428289556415,0.942
137,I,HS1306571,14,18,64.5455,64.5455,3+-hop,2.851294288610423,0.4619488037373864,2.8507282132357687,0.0013460673434177253,2.851294288610423,0.942
138,I,HS1306571,2,6,53.7879,53.7879,1-hop,2.3862647588127697,0.20801977572860428,2.3862647588127697,0.0013128787971041736,2.104421696936992,0.918
139,I,HS1306571,20,12,53.7879,53.7879,1-hop,2.3880613039276715,0.4558294984315367,2.3880613039276715,0.0014842135145133896,2.345817923768678,0.918
140,I,HS1306571,8,6,43.0303,43.0303,1-hop,1.848304850633268,0.11493994394154855,1.848304850633268,0.0007813085859131451,1.6492256528518856,0.884
141,I,HS1316643,20,12,4.4331,4.4331,1-hop,3.0735671216347766,0.0035707335220273467,3.0735671216347766,2.153769426863111,0.25857226696786323,0.42
142,I,HS1316643,14,12,4.4331,4.4331,1-hop,3.033804808710014,0.0036588452423974454,3.033804808710014,2.136951898303372,0.26890315405646686,0.42
143,I,HS1316643,14,18,6.6496,6.6496,1-hop,4.584496384169463,0.0032979189825830453,4.584496384169463,3.204747312870744,0.40014197458083167,0.504
144,I,HS1316643,8,18,5.5414,5.5414,1-hop,3.786947339891081,0.0026002346262486743,3.786947339891081,2.458681518690883,0.3345851719620155,0.48
145,I,HS1316643,2,12,4.4331,4.4331,1-hop,3.1309879460135557,0.0041661757326305155,3.1309879460135557,2.1465476366864045,0.23064504801192073,0.42
146,I,HS1311473,20,12,0.74,0.74,2-hop,0.1349987612727063,0.005667170148719429,0.0006449332903967707,0.1349987612727063,0.09575076637554107,0.042
147,I,HS1311473,8,6,0.74,0.74,2-hop,0.13500021493401887,0.0033863778081735857,0.0003763163482256851,0.13500021493401887,0.08811873903874365,0.042
148,I,HS1311473,14,18,0.74,0.74,2-hop,0.1541829085316024,0.004972319761827093,0.0007697455260996081,0.1541829085316024,0.09749284758768625,0.042
149,I,HS1311473,14,24,1.11,1.11,2-hop,0.23191933902611614,0.004550953627424138,0.0007043395252960207,0.23191933902611614,0.14132573141493493,0.088
150,I,HS1311473,20,6,0.74,0.74,2-hop,0.10508847553258659,0.003550351189276825,0.0006449332903967707,0.10508847553258659,0.09266110348747461,0.042
151,I,HS1316721,2,24,6.6542,6.6542,2-hop,0.40638676527300344,0.0033622060236524485,0.031077268100297838,0.40638676527300344,0.3444097997270198,0.51
152,I,HS1316721,2,18,9.9812,9.9812,2-hop,0.6027531207886103,0.003484856460069345,0.04559814136903037,0.6027531207886103,0.5170757227202057,0.556
153,I,HS1316721,14,18,9.9812,9.9812,2-hop,0.5921222571386819,0.0019207599589188445,0.048676805221536876,0.5921222571386819,0.5182509296334801,0.556
154,I,HS1316721,8,6,6.6542,6.6542,3+-hop,0.308822121106753,0.0006936462652862705,0.016677238321026706,0.3023431544562869,0.308822121106753,0.51
155,I,HS1316721,8,24,9.9812,9.9812,3+-hop,0.5182003004548186,0.001965304826943058,0.028766813565661905,0.45408762147164516,0.5182003004548186,0.556
156,I,HS1314477,20,18,113.5742,113.5742,1-hop,0.367734987490726,0.0002783789560814632,0.367734987490726,0.010304478940567493,0.255806301860812,0.98
157,I,HS1314477,20,18,136.289,136.289,1-hop,0.42674855784580096,0.00020918395668707666,0.42674855784580096,0.005917591696140374,0.30764141658900523,0.994
158,I,HS1314477,2,18,136.289,136.289,1-hop,0.42677260240459564,0.00023694854157667325,0.42677260240459564,0.010780219149297634,0.35599935648377423,0.994
159,I,HS1314477,14,12,136.289,136.289,1-hop,0.41410090728097004,0.0002943045576566369,0.41410090728097004,0.008276640793827755,0.36498978160901696,0.994
160,I,HS1314477,8,18,136.289,136.289,1-hop,0.3832278222104868,0.00024019686347927425,0.3832278222104868,0.008688312042066722,0.3646500169869212,0.994
161,I,HS1313835,20,12,40.906,40.906,3+-hop,1.9857135584160346,0.00033471713519891944,0.9277256234471318,0.0017855233994515315,1.9857135584160346,0.876
162,I,HS1313835,20,24,34.0883,34.0883,3+-hop,1.793929627376355,0.00037297005097185334,0.7758842186892198,0.0020183114542049237,1.793929627376355,0.84
163,I,HS1313835,8,6,27.2706,27.2706,3+-hop,1.6521681441356155,0.0001462616019790329,0.5535204789600434,0.0011879748817657742,1.6521681441356155,0.784
164,I,HS1313835,20,6,27.2706,27.2706,3+-hop,1.2704602707975865,0.0004416608765645448,0.6172048913391543,0.001868967941187597,1.2704602707975865,0.784
165,I,HS1313835,20,12,27.2706,27.2706,3+-hop,1.3330569687124156,0.0004416608765645448,0.6224322859443545,0.0021079032283542005,1.3330569687124156,0.784
166,I,HS1313205,20,12,37.6111,37.6111,2-hop,5.612135166322377,0.013651944314036877,0.04528168919988748,5.612135166322377,3.7521841140896712,0.866
167,I,HS1313205,8,6,31.3426,31.3426,2-hop,4.67744305495169,0.006056139247956807,0.01618696611186611,4.67744305495169,3.1116486381184147,0.834
168,I,HS1313205,20,24,31.3426,31.3426,2-hop,4.744163187261744,0.01342028234346126,0.04163389555694355,4.744163187261744,3.145607869722093,0.834
169,I,HS1313205,14,6,25.0741,25.0741,2-hop,3.715573502836197,0.014518002892049684,0.05416754228491569,3.715573502836197,2.466167595264034,0.776
170,I,HS1313205,20,6,37.6111,37.6111,2-hop,5.518927561140304,0.013651944314036877,0.04254241916359913,5.518927561140304,3.6305967741007517,0.866
171,I,HS1306904,20,12,76.4982,76.4982,1-hop,7.726698383106164,0.00032634610158204777,7.726698383106164,0.0016062362141978919,0.6278896453928761,0.954
172,I,HS1306904,8,6,114.7473,114.7473,1-hop,11.157097915405657,0.0005484633431011971,11.157097915405657,0.0016376691176427148,0.8344123149666934,0.984
173,I,HS1306904,8,6,95.6227,95.6227,1-hop,9.313688231048175,0.0005336924903741278,9.313688231048175,0.0016094611299131182,0.7102725727103935,0.974
174,I,HS1306904,20,18,76.4982,76.4982,1-hop,7.726698383106164,0.00036426531221705593,7.726698383106164,0.0016062362141978919,0.6278896453928761,0.954
175,I,HS1306904,2,24,95.6227,95.6227,1-hop,9.634557166339437,0.0006246045840705699,9.634557166339437,0.0017889386971240327,0.72953360637961,0.974
176,I,HS1324403,20,12,37.5994,37.5994,3+-hop,3.6971864050993783,0.0007827663777762165,0.007818925131627578,2.0895316858566915,3.6971864050993783,0.858
