scenario_id,defect_type,true_node,start_hour,duration_h,flow,abs_flow,time_to_peak_hours,dominant_hop_band,peak_response_index,peak_exceedance_rate,flow_rank_pct,peak_phase
105,I,HS1316202,2,24,30.3413,30.3413,3.333333,2-hop,8.32630818907141,0.4,0.818,2-6 h
106,I,HS1313618,20,6,2.057,2.057,1.166667,3+-hop,0.2715770414274801,0.016129032258064516,0.196,0-2 h
107,I,HS1313618,20,24,2.057,2.057,1.166667,3+-hop,0.2715770414274801,0.016129032258064516,0.196,0-2 h
108,I,HS1313618,2,24,2.4684,2.4684,13.5,3+-hop,0.3235869616363948,0.03225806451612903,0.244,12+ h
109,I,HS1313618,2,18,2.057,2.057,13.5,3+-hop,0.26962548748433135,0.024193548387096774,0.196,12+ h
110,I,HS1313618,8,24,1.6456,1.6456,13.166667,3+-hop,0.22012738735261225,0.016129032258064516,0.156,12+ h
111,I,HS1306471,8,6,1.0707,1.0707,0.833333,3+-hop,0.0771622423440471,0.016,0.082,0-2 h
112,I,HS1306471,14,24,0.8566,0.8566,11.0,0-hop,0.07583464585815716,0.0,0.058,6-12 h
113,I,HS1306471,8,24,0.8566,0.8566,13.833333,3+-hop,0.06491135816943004,0.0,0.058,12+ h
114,I,HS1306471,20,6,1.0707,1.0707,5.0,0-hop,0.09459244827049096,0.0,0.082,2-6 h
115,I,HS1306471,8,24,1.2848,1.2848,13.833333,3+-hop,0.09691582029111691,0.008,0.116,12+ h
116,I,HS2003015,14,12,37.0893,37.0893,7.166667,3+-hop,0.27270123830590237,0.05785123966942149,0.846,6-12 h
117,I,HS2003015,14,18,29.6715,29.6715,7.166667,3+-hop,0.22144047245152615,0.05785123966942149,0.806,6-12 h
118,I,HS2003015,14,24,44.5072,44.5072,7.166667,3+-hop,0.32390878485049285,0.06611570247933884,0.888,6-12 h
119,I,HS2003015,2,12,29.6715,29.6715,11.833333,3+-hop,0.1978705678664609,0.05785123966942149,0.806,6-12 h
120,I,HS2003015,14,6,37.0893,37.0893,5.833333,3+-hop,0.2262588038592374,0.05785123966942149,0.846,2-6 h
121,I,HS1313140,8,6,3.6018,3.6018,4.666667,3+-hop,0.36988323690337394,0.024390243902439025,0.358,2-6 h
122,I,HS1313140,8,6,5.4027,5.4027,4.5,3+-hop,0.5538987242781322,0.06504065040650407,0.474,2-6 h
123,I,HS1313140,14,6,5.4027,5.4027,4.833333,3+-hop,0.5222251166025523,0.06504065040650407,0.474,2-6 h
